,anneal,acetone,growth,T_growth,pos,T_eff,dummy
1,2-Jun,FALSE,11-Jun,900,0,900,TRUE
2,12-Jun,TRUE,15-Jun,940,0,940,TRUE
3,12-Jun,TRUE,15-Jun,940,38,933,TRUE
4,16-Jun,TRUE,17-Jun,890,0,890,TRUE
5,12-Jun,FALSE,13-Jun,910,0,910,TRUE
6,12-Jun,TRUE,15-Jun,940,57,924,TRUE
7,16-Jun,TRUE,17-Jun,890,38,883,TRUE
8,12-Jun,TRUE,17-Jun,890,57,874,TRUE
9,12-Jun,FALSE,,,,,
10,16-Jun,TRUE,17-Jun,910,0,910,TRUE
11,16-Jun,TRUE,17-Jun,910,38,903,TRUE
12,16-Jun,TRUE,17-Jun,910,57,894,TRUE
13,2-Jun,FALSE,2-Jun,900,0,900,FALSE
14,2-Jun,FALSE,3-Jun,910,0,910,FALSE
15,2-Jun,FALSE,3-Jun,920,0,920,FALSE
16,2-Jun,FALSE,4-Jun,910,0,910,TRUE
17,2-Jun,FALSE,11-Jun,920,0,920,TRUE
